income,age,employment_years,num_credit_lines,outstanding_debt,credit_utilisation,late_payments,delinquencies,mortgage,loan_amount,default
46094.34,68,36,2,0.0,0.0,1,0,0,7510.85,1
19200.32,62,1,2,9949.09,0.518,0,0,0,2597.19,1
55009.02,56,9,10,0.0,0.0,0,0,0,3293.01,0
58811.29,32,36,7,0.0,0.0,0,0,0,5060.05,0
8000.0,53,24,11,1464.92,0.183,0,0,0,5099.8,1
13956.41,64,27,5,0.0,0.0,1,0,0,12622.9,1
42556.81,22,9,4,30191.86,0.709,0,0,0,12290.42,1
33675.15,28,24,11,13467.24,0.4,3,0,0,21176.65,1
39663.98,47,14,7,22621.73,0.57,2,0,1,14925.95,1
22939.12,38,29,10,19306.86,0.842,0,0,0,0.0,1
57587.96,58,3,0,12657.2,0.22,0,0,1,1301.35,1
55555.84,40,11,6,30377.56,0.547,1,0,1,17305.12,1
41320.61,74,25,9,20914.28,0.506,1,0,1,14601.01,1
62544.82,35,24,9,11478.48,0.184,1,0,0,18391.43,1
49350.19,38,33,8,0.0,0.0,1,0,1,7959.92,0
22814.15,18,32,1,20091.29,0.881,1,0,1,5401.84,1
47375.02,32,0,6,0.0,0.0,0,0,0,11424.99,0
20822.35,31,3,1,17786.48,0.854,0,0,1,0.0,1
57569.01,61,14,9,16940.23,0.294,1,0,0,6022.91,1
39001.48,37,38,7,0.0,0.0,0,0,1,27592.26,0
36302.75,29,19,2,17506.23,0.482,0,0,0,4699.29,1
26381.41,35,35,8,15507.93,0.588,1,0,0,7844.17,1
64450.83,50,2,8,19369.3,0.301,0,0,1,5968.4,0
36909.41,62,38,0,15895.89,0.431,1,0,1,23028.04,1
31433.44,73,2,1,3357.52,0.107,0,0,1,0.0,1
32957.33,20,32,2,22169.87,0.673,0,0,0,14746.15,1
50646.18,65,35,0,4749.78,0.094,0,0,1,4003.03,1
47308.88,40,11,6,0.0,0.0,0,0,0,1501.06,1
48254.65,64,12,10,24944.97,0.517,0,0,0,0.0,1
48616.42,20,23,0,28908.1,0.595,0,0,0,25144.64,1
82832.95,53,28,7,27376.27,0.33,0,0,0,15234.76,1
31871.7,71,4,5,10079.25,0.316,0,0,1,0.0,1
29755.15,20,9,10,0.0,0.0,0,0,0,0.0,0
23724.55,63,30,5,34597.81,1.458,0,0,0,1542.53,1
52319.59,24,32,8,0.0,0.0,1,0,0,12992.94,0
62579.45,73,6,11,25048.87,0.4,2,0,0,6716.87,1
37721.05,60,35,1,45425.66,1.204,1,0,0,0.0,1
23196.87,69,34,3,14561.68,0.628,0,0,1,7192.34,1
23510.38,69,34,3,16719.53,0.711,0,0,1,20679.01,1
